tick	walking_tick	ref_zmp_x	ref_zmp_y	ref_zmp_z	target_com_stance_x	target_com_stance_y	target_com_stance_z	com_stance_x	com_stance_y	com_stance_z	com_global_x	com_global_y	com_global_z	lfoot_x	lfoot_y	lfoot_z	rfoot_x	rfoot_y	rfoot_z	target_com_global_x	target_com_global_y	target_com_global_z	q_leg_desired[0..11]	q_leg_meas[0..11]	phase_indicator	swing_target_x	swing_target_y	swing_target_z	ref_vrp_world_x	ref_vrp_world_y	ref_vrp_world_z	target_com_world_x	target_com_world_y	target_com_world_z	com_world_x	com_world_y	com_world_z	stance_foot_x	stance_foot_y	stance_foot_z	swing_foot_x	swing_foot_y	swing_foot_z
0	1	0.000029	-0.113233	0.616636	0.086576	-0.117585	0.615927	0.087544	-0.118385	0.616168	-0.030630	0.041795	-0.070921	-0.012590	0.118500	0.034580	-0.015583	-0.114430	0.033977	-0.030694	0.040542	-0.071163	-0.295599	0.003174	0.008944	0.955537	-0.659539	0.000855	-0.293836	-0.002208	-0.009330	0.953335	-0.631482	-0.032285	-0.421299	0.005759	0.011383	0.939120	-0.522062	0.017907	-0.419714	0.000017	-0.007205	0.936154	-0.527171	-0.034317	0	0.087400	-0.118500	0.033978	-0.012561	0.005267	0.651216	0.073987	0.000915	0.650506	0.074954	0.000115	0.650748	-0.012590	0.118500	0.034580	-0.015583	-0.114430	0.033977
1	2	0.004024	-0.104804	0.617858	0.081297	-0.113164	0.614610	0.094161	-0.116482	0.616518	-0.029158	0.039777	-0.072250	-0.012590	0.118500	0.034580	-0.016194	-0.108731	0.032754	-0.024099	0.027493	-0.074158	-0.299371	-0.003648	0.012483	0.944371	-0.644722	0.008380	-0.297297	-0.008457	-0.005262	0.941431	-0.616073	-0.024385	-0.369553	0.002393	0.017101	0.920823	-0.518424	0.015645	-0.363349	-0.000162	-0.013727	0.911312	-0.531229	-0.032327	0	0.088270	-0.118131	0.033978	-0.008181	0.013711	0.652438	0.069122	0.005635	0.649190	0.081998	0.002365	0.651098	-0.012590	0.118500	0.034580	-0.016194	-0.108731	0.032754
2	3	0.009587	-0.093068	0.619559	0.073116	-0.106127	0.612635	0.088473	-0.115225	0.619967	-0.028979	0.039590	-0.072226	-0.012590	0.118500	0.034580	-0.018009	-0.107099	0.033314	-0.027283	0.021821	-0.079559	-0.319703	-0.012734	0.019832	0.956840	-0.636770	0.021068	-0.317214	-0.018105	0.001307	0.953224	-0.607679	-0.013023	-0.364141	-0.002303	0.004781	0.902322	-0.491215	-0.019328	-0.353881	0.006323	-0.016298	0.890186	-0.492783	-0.029448	0	0.085172	-0.119428	0.033978	-0.003876	0.025347	0.654139	0.059527	0.011692	0.647215	0.074799	0.002450	0.654547	-0.012590	0.118500	0.034580	-0.018009	-0.107099	0.033314
3	4	0.015822	-0.079913	0.621465	0.064586	-0.098495	0.610680	0.091116	-0.115129	0.621190	-0.027477	0.037804	-0.072244	-0.012590	0.118500	0.034580	-0.018284	-0.108656	0.034684	-0.025556	0.006550	-0.082754	-0.339190	-0.023232	0.027547	0.967763	-0.627855	0.034441	-0.336608	-0.028729	0.008327	0.964638	-0.599478	-0.000540	-0.344720	-0.004612	-0.006562	0.893885	-0.482211	-0.023411	-0.335200	0.008957	-0.016726	0.885448	-0.473564	-0.028407	0	0.083133	-0.120255	0.033978	0.001796	0.038316	0.656045	0.050219	0.018863	0.645260	0.076446	0.001755	0.655770	-0.012590	0.118500	0.034580	-0.018284	-0.108656	0.034684
4	5	0.021833	-0.067231	0.623303	0.056975	-0.091350	0.609067	0.090291	-0.114452	0.621861	-0.026980	0.037141	-0.072045	-0.012590	0.118500	0.034580	-0.017845	-0.109305	0.035827	-0.026246	-0.003394	-0.084839	-0.357629	-0.033263	0.034084	0.980375	-0.622042	0.046085	-0.355475	-0.039088	0.014812	0.978104	-0.593860	0.011505	-0.335115	-0.001936	-0.005370	0.891993	-0.484219	-0.022557	-0.328221	0.008019	-0.018427	0.887860	-0.470472	-0.021175	0	0.083837	-0.119972	0.033978	0.008233	0.050949	0.657883	0.043010	0.026307	0.643647	0.075976	0.002708	0.656441	-0.012590	0.118500	0.034580	-0.017845	-0.109305	0.035827
5	6	0.026724	-0.056912	0.624798	0.050529	-0.084991	0.607841	0.091750	-0.113698	0.620304	-0.026828	0.036496	-0.071640	-0.012590	0.118500	0.034580	-0.016799	-0.107908	0.035708	-0.025899	-0.013728	-0.084103	-0.373681	-0.042374	0.040093	0.991987	-0.617721	0.056913	-0.372010	-0.048198	0.020912	0.990791	-0.589840	0.022277	-0.333402	-0.002925	-0.003683	0.904307	-0.493328	-0.016826	-0.327982	0.008241	-0.019191	0.900592	-0.475268	-0.016011	0	0.084410	-0.119740	0.033978	0.013416	0.061256	0.659378	0.036866	0.032880	0.642421	0.077722	0.003656	0.654884	-0.012590	0.118500	0.034580	-0.016799	-0.107908	0.035708
6	7	0.030000	-0.050000	0.625800	0.045094	-0.079399	0.606943	0.091301	-0.113126	0.618861	-0.026755	0.036433	-0.071209	-0.012590	0.118500	0.034580	-0.017714	-0.108173	0.036004	-0.026728	-0.020773	-0.083126	-0.387432	-0.050742	0.045098	1.002030	-0.614180	0.066617	-0.385887	-0.056379	0.026323	1.001257	-0.586359	0.031893	-0.335601	-0.003342	-0.002330	0.917798	-0.507882	-0.006371	-0.327744	0.006571	-0.018735	0.914866	-0.488363	-0.015425	0	0.085406	-0.119331	0.033978	0.016989	0.068250	0.660380	0.031836	0.038725	0.641523	0.077757	0.004611	0.653441	-0.012590	0.118500	0.034580	-0.017714	-0.108173	0.036004
7	8	0.030000	-0.050000	0.625800	0.040469	-0.074492	0.606307	0.091302	-0.110780	0.617084	-0.026608	0.036622	-0.070891	-0.012590	0.118500	0.034580	-0.017020	-0.104702	0.035553	-0.025176	-0.025819	-0.081668	-0.398177	-0.058270	0.049241	1.008615	-0.610848	0.075410	-0.397707	-0.063928	0.030972	1.009661	-0.582776	0.040434	-0.336624	-0.003828	0.010124	0.930334	-0.525770	0.008623	-0.329150	0.002250	-0.020945	0.927112	-0.504610	-0.014070	0	0.088233	-0.118147	0.033978	0.017586	0.068606	0.660380	0.028141	0.044151	0.640887	0.079101	0.008042	0.651664	-0.012590	0.118500	0.034580	-0.017020	-0.104702	0.035553
8	9	0.030000	-0.050000	0.625800	0.036506	-0.070198	0.605882	0.090497	-0.109182	0.615598	-0.026655	0.037169	-0.070553	-0.012590	0.118500	0.034580	-0.017253	-0.102618	0.035614	-0.024837	-0.029400	-0.080270	-0.407382	-0.064773	0.053128	1.013684	-0.607344	0.083297	-0.415798	-0.070529	0.035302	1.034170	-0.589095	0.047914	-0.341464	-0.004271	0.018816	0.942222	-0.541104	0.018105	-0.333394	-0.001457	-0.022110	0.940782	-0.519830	-0.016143	0	0.090541	-0.117150	0.033978	0.018072	0.068903	0.660380	0.024846	0.048793	0.640462	0.079350	0.010530	0.650178	-0.012590	0.118500	0.034580	-0.017253	-0.102618	0.035614
9	10	0.030000	-0.050000	0.625800	0.033115	-0.066457	0.605633	0.090442	-0.107347	0.614207	-0.026614	0.037839	-0.070163	-0.012590	0.118500	0.034580	-0.017634	-0.101811	0.036360	-0.024108	-0.032533	-0.078738	-0.415118	-0.070753	0.056756	1.016972	-0.603134	0.090321	-0.445050	-0.076245	0.040016	1.085053	-0.610893	0.054850	-0.346799	-0.010407	0.020516	0.953309	-0.554614	0.030465	-0.339794	-0.006238	-0.020811	0.959019	-0.528548	-0.009435	0	0.091132	-0.116891	0.033978	0.018196	0.068980	0.660380	0.021571	0.052575	0.640213	0.079536	0.012595	0.648787	-0.012590	0.118500	0.034580	-0.017634	-0.101811	0.036360
10	11	0.030000	-0.050000	0.625800	0.030231	-0.063214	0.605536	0.090245	-0.106109	0.612787	-0.026602	0.038782	-0.069707	-0.012590	0.118500	0.034580	-0.016598	-0.103021	0.036895	-0.023870	-0.034935	-0.076958	-0.421378	-0.075487	0.060497	1.018631	-0.598754	0.096309	-0.480843	-0.081023	0.045546	1.151020	-0.641433	0.061337	-0.353625	-0.016134	0.022123	0.964925	-0.559703	0.037103	-0.349884	-0.014257	-0.018414	0.977470	-0.531626	-0.004453	0	0.091700	-0.116640	0.033978	0.018316	0.069055	0.660380	0.018787	0.055847	0.640116	0.079573	0.014052	0.647367	-0.012590	0.118500	0.034580	-0.016598	-0.103021	0.036895
11	12	0.030000	-0.050000	0.625800	0.027802	-0.060420	0.605570	0.089590	-0.103749	0.612220	-0.026450	0.039320	-0.069476	-0.012590	0.118500	0.034580	-0.016688	-0.100679	0.037554	-0.022644	-0.036051	-0.076126	-0.425598	-0.079439	0.063591	1.017755	-0.594147	0.101443	-0.519757	-0.085728	0.050456	1.225438	-0.677229	0.067070	-0.355474	-0.021614	0.028712	0.968121	-0.561149	0.038737	-0.354656	-0.020291	-0.018749	0.989128	-0.534788	0.001658	0	0.092738	-0.116176	0.033978	0.018534	0.069192	0.660380	0.016572	0.058725	0.640150	0.079325	0.016805	0.646800	-0.012590	0.118500	0.034580	-0.016688	-0.100679	0.037554
