tick	walking_tick	ref_zmp_x	ref_zmp_y	ref_zmp_z	target_com_stance_x	target_com_stance_y	target_com_stance_z	com_stance_x	com_stance_y	com_stance_z	com_global_x	com_global_y	com_global_z	lfoot_x	lfoot_y	lfoot_z	rfoot_x	rfoot_y	rfoot_z	target_com_global_x	target_com_global_y	target_com_global_z	q_leg_desired[0..11]	q_leg_meas[0..11]	phase_indicator	swing_target_x	swing_target_y	swing_target_z	ref_vrp_world_x	ref_vrp_world_y	ref_vrp_world_z	target_com_world_x	target_com_world_y	target_com_world_z	com_world_x	com_world_y	com_world_z	stance_foot_x	stance_foot_y	stance_foot_z	swing_foot_x	swing_foot_y	swing_foot_z
0	1	0.004537	-0.095776	0.614313	0.046853	-0.104205	0.614825	0.046440	-0.105111	0.615301	0.050266	0.017704	-0.066742	0.004631	0.104554	0.000000	-0.004631	-0.104554	-0.005089	0.050329	0.018698	-0.067218	-0.369487	-0.023892	0.009895	0.963482	-0.594062	0.025565	-0.334678	0.023772	-0.008489	0.922558	-0.599239	-0.028686	-0.399824	-0.045193	0.026757	0.961354	-0.522087	0.039126	-0.382839	-0.000307	0.004513	0.961934	-0.536098	-0.022692	0	0.253458	-0.196420	-0.005089	0.008793	0.008761	0.614313	0.051077	0.000167	0.614825	0.050660	-0.000738	0.615301	0.004631	0.104554	0.000000	-0.004631	-0.104554	-0.005089
1	2	0.025424	-0.074802	0.611956	0.049176	-0.099180	0.612209	0.045580	-0.104847	0.614819	0.050454	0.017637	-0.066638	0.004631	0.104554	0.000000	-0.005399	-0.104943	-0.005496	0.051784	0.024215	-0.069248	-0.372127	-0.031594	0.014665	0.978637	-0.606670	0.034612	-0.338202	0.016068	-0.004369	0.940158	-0.613267	-0.019932	-0.402917	-0.044852	0.029636	0.964789	-0.525904	0.045423	-0.383964	-0.002463	0.005357	0.963681	-0.536415	-0.022009	0	0.254150	-0.195846	-0.005089	0.029935	0.029711	0.611956	0.053647	0.005295	0.612209	0.050043	-0.000366	0.614819	0.004631	0.104554	0.000000	-0.005399	-0.104943	-0.005496
2	3	0.050354	-0.049769	0.609144	0.053014	-0.091211	0.608156	0.044259	-0.104872	0.614078	0.050753	0.017572	-0.066423	0.004631	0.104554	0.000000	-0.006836	-0.105070	-0.005828	0.054024	0.033465	-0.072344	-0.375223	-0.043910	0.022341	1.000857	-0.626022	0.049108	-0.342023	0.003773	0.002372	0.964847	-0.634117	-0.005899	-0.407025	-0.044417	0.031940	0.970626	-0.531174	0.052399	-0.385506	-0.003545	0.006080	0.968419	-0.538860	-0.017545	0	0.254438	-0.195607	-0.005089	0.054952	0.054752	0.609144	0.057586	0.013309	0.608156	0.048823	-0.000347	0.614078	0.004631	0.104554	0.000000	-0.006836	-0.105070	-0.005828
3	4	0.071241	-0.028795	0.606788	0.057372	-0.082651	0.603941	0.044017	-0.104588	0.612858	0.051099	0.017426	-0.066064	0.004631	0.104554	0.000000	-0.006909	-0.105298	-0.005874	0.055676	0.042697	-0.074981	-0.377055	-0.057302	0.030683	1.022314	-0.646004	0.064873	-0.344601	-0.009576	0.009805	0.988917	-0.655689	0.009387	-0.410877	-0.044622	0.034618	0.980538	-0.539160	0.059820	-0.390134	-0.003895	0.009026	0.979319	-0.542890	-0.012796	0	0.254675	-0.195410	-0.005089	0.075876	0.075769	0.606788	0.062015	0.021911	0.603941	0.048663	-0.000027	0.612858	0.004631	0.104554	0.000000	-0.006909	-0.105298	-0.005874
4	5	0.080000	-0.020000	0.605800	0.061647	-0.074785	0.600203	0.044119	-0.104023	0.611024	0.051678	0.017156	-0.065584	0.004631	0.104554	0.000000	-0.006861	-0.105418	-0.006217	0.057525	0.050740	-0.076405	-0.377324	-0.069785	0.038379	1.039905	-0.663761	0.079526	-0.345482	-0.021998	0.016755	1.008771	-0.674830	0.023619	-0.419160	-0.044613	0.037819	0.995630	-0.549165	0.066815	-0.398537	-0.004244	0.011879	0.992733	-0.548779	-0.010187	0	0.254680	-0.195406	-0.005089	0.084634	0.084567	0.605800	0.066289	0.029779	0.600203	0.048766	0.000538	0.611024	0.004631	0.104554	0.000000	-0.006861	-0.105418	-0.006217
5	6	0.080000	-0.020000	0.605800	0.065615	-0.067981	0.597079	0.044596	-0.102898	0.608899	0.052384	0.016804	-0.065078	0.004631	0.104554	0.000000	-0.006839	-0.105495	-0.006454	0.059443	0.056944	-0.076898	-0.376140	-0.080377	0.045533	1.053217	-0.678758	0.092287	-0.345112	-0.032522	0.023373	1.024122	-0.690791	0.036029	-0.425663	-0.044860	0.043068	1.012163	-0.557214	0.077879	-0.406070	-0.004346	0.017249	1.008891	-0.555973	-0.004884	0	0.254708	-0.195381	-0.005089	0.084636	0.084575	0.605800	0.070264	0.036590	0.597079	0.049254	0.001667	0.608899	0.004631	0.104554	0.000000	-0.006839	-0.105495	-0.006454
6	7	0.080000	-0.020000	0.605800	0.069255	-0.062199	0.594502	0.044477	-0.101534	0.606541	0.053170	0.016386	-0.064471	0.004631	0.104554	0.000000	-0.006736	-0.105602	-0.006976	0.062100	0.062009	-0.076511	-0.373569	-0.088810	0.052619	1.062559	-0.691262	0.103185	-0.350050	-0.042178	0.029714	1.046357	-0.708335	0.047608	-0.435148	-0.045031	0.050019	1.030196	-0.567946	0.088728	-0.416416	-0.004909	0.023757	1.025458	-0.563853	-0.000659	0	0.255023	-0.195119	-0.005089	0.084657	0.084659	0.605800	0.073967	0.042446	0.594502	0.049241	0.003078	0.606541	0.004631	0.104554	0.000000	-0.006736	-0.105602	-0.006976
7	8	0.080000	-0.020000	0.605800	0.072610	-0.057304	0.592374	0.045236	-0.099994	0.604433	0.053892	0.015775	-0.063984	0.004631	0.104554	0.000000	-0.006713	-0.105723	-0.007027	0.064077	0.065454	-0.076043	-0.370298	-0.095245	0.059712	1.069423	-0.702075	0.112352	-0.366001	-0.052238	0.035701	1.085440	-0.731686	0.059386	-0.439503	-0.046190	0.056835	1.045297	-0.575400	0.096524	-0.423507	-0.006647	0.029998	1.042400	-0.569213	0.005500	0	0.254765	-0.195334	-0.005089	0.084640	0.084590	0.605800	0.077266	0.047283	0.592374	0.049911	0.004580	0.604433	0.004631	0.104554	0.000000	-0.006713	-0.105723	-0.007027
8	9	0.080000	-0.020000	0.605800	0.075732	-0.053179	0.590620	0.045577	-0.098035	0.602149	0.054637	0.015115	-0.063415	0.004631	0.104554	0.000000	-0.006075	-0.106264	-0.007494	0.066653	0.067812	-0.074944	-0.366383	-0.099938	0.066852	1.074188	-0.711511	0.120025	-0.390058	-0.062870	0.041682	1.135490	-0.757831	0.071691	-0.445826	-0.049692	0.064053	1.060833	-0.584374	0.110117	-0.432438	-0.011053	0.037350	1.058694	-0.576246	0.014076	0	0.254682	-0.195404	-0.005089	0.084634	0.084567	0.605800	0.080372	0.051387	0.590620	0.050224	0.006527	0.602149	0.004631	0.104554	0.000000	-0.006075	-0.106264	-0.007494
9	10	0.080000	-0.020000	0.605800	0.078663	-0.049742	0.589187	0.047093	-0.096251	0.600093	0.055383	0.014379	-0.062913	0.004631	0.104554	0.000000	-0.003793	-0.107265	-0.007647	0.068124	0.069127	-0.073819	-0.361929	-0.103066	0.074059	1.077232	-0.719835	0.126345	-0.420554	-0.073976	0.047956	1.192827	-0.784772	0.084486	-0.450189	-0.052956	0.072531	1.073838	-0.590701	0.122521	-0.443943	-0.015340	0.046992	1.075218	-0.582324	0.021548	0	0.254684	-0.195402	-0.005089	0.084634	0.084568	0.605800	0.083303	0.054825	0.589187	0.051741	0.008311	0.600093	0.004631	0.104554	0.000000	-0.003793	-0.107265	-0.007647
